lead_id,action,timestamp
1,demo_request,2025-05-28 05:53:56
2,web_visit,2025-05-06 09:43:55
2,web_visit,2025-04-21 04:02:42
3,web_visit,2025-03-12 02:37:03
3,email_open,2025-01-02 06:34:39
3,email_open,2025-04-08 12:38:40
4,webinar_attendance,2025-05-17 03:01:32
4,web_visit,2025-02-21 03:56:03
4,webinar_attendance,2025-03-14 12:40:08
4,webinar_attendance,2025-02-01 03:43:53
5,email_open,2025-02-13 14:35:19
5,email_open,2025-04-20 20:06:18
6,webinar_attendance,2025-01-04 05:19:11
7,webinar_attendance,2025-02-04 13:25:56
8,web_visit,2025-04-27 19:18:28
8,demo_request,2025-05-11 07:24:08
8,web_visit,2025-04-18 10:49:20
8,webinar_attendance,2025-04-17 13:07:38
9,web_visit,2025-04-15 22:34:47
10,demo_request,2025-03-01 02:08:03
10,email_open,2025-01-06 10:14:44
10,webinar_attendance,2025-04-29 23:48:14
11,webinar_attendance,2025-03-28 15:46:23
11,webinar_attendance,2025-04-26 14:48:34
11,email_open,2025-01-22 10:46:27
12,webinar_attendance,2025-01-31 21:42:01
12,web_visit,2025-01-24 16:47:30
12,webinar_attendance,2025-01-26 16:10:17
13,webinar_attendance,2025-06-05 17:28:50
14,webinar_attendance,2025-01-19 22:22:56
14,webinar_attendance,2025-05-08 04:32:06
14,web_visit,2025-01-11 13:02:01
15,demo_request,2025-04-20 14:45:13
15,email_open,2025-02-04 17:30:25
15,demo_request,2025-02-27 04:30:40
15,web_visit,2025-04-20 16:48:46
16,email_open,2025-01-16 00:14:04
16,email_open,2025-04-28 04:01:35
16,webinar_attendance,2025-06-04 09:14:57
16,email_open,2025-01-16 10:33:22
17,email_open,2025-05-09 18:05:26
17,email_open,2025-03-13 19:24:10
17,email_open,2025-02-11 16:57:51
17,webinar_attendance,2025-05-24 06:03:04
18,email_open,2025-02-18 11:29:44
18,web_visit,2025-03-18 00:04:10
18,demo_request,2025-04-11 00:50:18
18,email_open,2025-03-06 04:11:04
19,webinar_attendance,2025-03-27 15:18:36
19,webinar_attendance,2025-06-02 06:55:26
19,webinar_attendance,2025-04-01 20:07:30
20,demo_request,2025-01-01 19:27:46
20,demo_request,2025-05-20 04:53:45
20,webinar_attendance,2025-01-22 17:49:51
20,demo_request,2025-02-11 11:11:02
20,email_open,2025-04-10 17:23:27
21,webinar_attendance,2025-02-04 11:15:05
21,webinar_attendance,2025-01-31 16:11:10
21,web_visit,2025-05-15 23:48:30
22,demo_request,2025-05-24 04:57:31
22,webinar_attendance,2025-02-06 12:42:50
22,email_open,2025-03-30 23:25:01
22,demo_request,2025-01-01 00:19:30
22,web_visit,2025-05-14 23:04:34
23,demo_request,2025-05-06 05:05:11
23,demo_request,2025-03-06 13:34:22
24,webinar_attendance,2025-01-30 21:10:14
24,email_open,2025-04-24 08:16:30
24,email_open,2025-05-23 03:41:38
25,web_visit,2025-04-19 07:50:58
25,webinar_attendance,2025-04-02 11:52:24
25,demo_request,2025-05-08 01:04:27
25,webinar_attendance,2025-05-15 14:52:41
25,demo_request,2025-04-14 23:59:56
26,email_open,2025-05-20 11:59:34
27,web_visit,2025-03-10 20:03:10
27,webinar_attendance,2025-04-06 20:56:49
27,webinar_attendance,2025-02-14 10:39:26
27,web_visit,2025-06-04 18:01:28
27,web_visit,2025-05-04 23:57:20
28,email_open,2025-05-21 18:35:52
28,demo_request,2025-02-20 20:59:42
28,email_open,2025-04-10 13:25:23
28,demo_request,2025-06-07 12:35:38
28,webinar_attendance,2025-01-11 05:27:54
